,Event ID,Event Name,End Date
0,01A6228,"Clearance and Demolition Services Fortuna, CA",08/16/22 - 2:00PM PDT
1,02A2151,IFB Janitorial and Custodial Grounds Maintenance Services at the Secret Valley Safety Roadside Rest Area (SRRA) in Lassen County.,08/16/22 - 2:00PM PDT
2,03A3492,SB Minor B 03A3492 - Install Cured-In-Place Pipeliners in Placer County,08/19/22 - 2:15PM PDT
3,03A3503,"SB Minor B 03A3503-Roadway Excavation, place HMA overside drain and HMA dike in Yolo County",08/17/22 - 2:15PM PDT
4,04A6476,IFB Multiple Provider Unsheltered Resident Encampment Site Waste Removal and Cleanup or Clean Only Services in the East Bay Area,08/18/22 - 2:00PM PDT
5,04A6497,"Operated Equipment Rental Services in Alameda, Contra Costa, Sacramento, Solano, San Mateo, Lake, San Francisco, Santa Clara, Marin, Sonoma, and Napa Counties",08/16/22 - 2:00PM PDT
6,04A6498,"Operated Equipment Rental Services in Alameda, Contra Costa, Sacramento, Solano, San Mateo, San Francisco, Lake, Santa Clara, Marin, Sonoma, and Napa Counties",08/18/22 - 2:00PM PDT
7,04A6510,"IFB Janitorial Services in Santa Clara County, San Mateo County, and San Francisco County",08/16/22 - 2:00PM PDT
8,04A6524,SB Minor B 04A6524 Install Midwest Guardrail System in Solano county,08/23/22 - 2:15PM PDT
9,06A2855,"IFB Trash and Recycle Pick-up, Hauling, and Disposal Services in Kern County",08/16/22 - 2:00PM PDT
10,09A0882,IFB Concrete Sidewalk Repairs and Picnic Tables Replacement Services,08/25/22 - 2:00PM PDT
11,10A2418,"Inductive Loop Detector Repair and Replacement in Amador, Alpine, Calaveras, Mariposa, Merced, San Joaquin, Stanislaus, and Tuolumne Counties",08/16/22 - 2:30PM PDT
12,10A2440,"Trash and Recycling Collection, Hauling, and Disposal Services within Calaveras County",08/18/22 - 2:00PM PDT
13,10A2445,SB Minor B 10A2445 Concrete Invert Paving and Rock Slope Protection in Mariposa County,08/12/22 - 2:15PM PDT
14,32A0541,"IFB Auctioneering Services to Dispose of Retired Equipment, Northern California",08/16/22 - 2:00PM PDT
